,route_id,m/s,km/h,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,transit_type
13,20667,15.463279456828474,55.667806044582505,TL,555,Carvolth Exchange/Lougheed Station,,3,,,,Bus
153,6716,11.991498086075914,43.16939310987329,TL,352,Ocean Park/Bridgeport Station,,3,,,,Bus
183,6779,11.701938410318524,42.12697827714669,TL,262,Lions Bay/Caulfeild,,3,,,,Bus
176,6747,11.6564256734537,41.963132424433326,TL,620,Tsawwassen Ferry/Bridgeport Station,,3,,,,Bus
152,6715,11.499896282652426,41.39962661754873,TL,351,White Rock Centre/Bridgeport Station,,3,,,,Bus
137,6699,10.338043012460782,37.21695484485881,TL,311,Scottsdale/Bridgeport Station,,3,,,,Bus
154,6717,9.958428249239317,35.85034169726154,TL,354,White Rock South/Bridgeport Station,,3,,,,Bus
170,6741,9.62291842198698,34.642506319153135,TL,601,South Delta/Boundary Bay/Bridgeport,,3,,,,Bus
190,6805,9.459861689146035,34.05550208092573,TL,749,Ruskin/Haney Place,,3,,,,Bus
171,6742,9.384808070229985,33.78530905282795,TL,602,Tsawwassen Heights/Bridgeport,,3,,,,Bus
55,37809,9.135779880125781,32.88880756845281,TL,R3,Lougheed Hwy,,3,,008522,FFFFFF,Bus (RapidBus)
173,6744,8.589257575128828,30.92132727046378,TL,604,English Bluff/Bridgeport,,3,,,,Bus
172,6743,8.508968333395323,30.632286000223164,TL,603,Beach Grove/Bridgeport,,3,,,,Bus
177,6748,8.484091309664757,30.542728714793128,TL,640,Ladner Exchange/Scott Road Station,,3,,,,Bus
189,6804,8.15219849552384,29.34791458388582,TL,748,Thornhill/Haney Place,,3,,,,Bus
150,6713,8.129869115957709,29.26752881744775,TL,340,Scottsdale/22nd St Station,,3,,,,Bus
136,6698,7.776943762723862,27.996997545805904,TL,301,Newton Exchange/Brighouse Station,,3,,,,Bus
197,6822,7.697901612635539,27.71244580548794,TL,310,Scottsdale/Ladner,,3,,,,Bus
212,6841,7.6818542002690124,27.654675120968445,TL,N9,Downtown/Lougheed Station/Coquitlam Central Station,,3,,,,Bus
135,6693,7.646924702575315,27.52892892927113,TL,257,Horseshoe Bay/Vancouver Express,,3,,,,Bus
28,30045,7.4317588407195485,26.754331826590374,TL,182,Moody Centre Station/Belcarra,,3,,,,Bus
169,6739,7.360729702062604,26.498626927425374,TL,509,Walnut Grove/Surrey Central Station,,3,,,,Bus
178,6749,7.197684307695666,25.911663507704397,TL,701,Haney/Maple Ridge East/Coquitlam Station,,3,,,,Bus
16,23384,7.189127368327236,25.880858525978052,TL,503,Aldergrove/Surrey Central Station,,3,,,,Bus
203,6830,7.184480019866416,25.864128071519097,TL,N10,Downtown/Richmond NightBus,,3,,,,Bus
215,7224,7.1566831695522914,25.76405941038825,TL,791,Haney Place/Braid Station,,3,,,,Bus
27,30044,7.018341829267917,25.2660305853645,TL,181,Moody Centre Station/Ioco,,3,,,,Bus
115,6668,6.972783228700163,25.10201962332059,TL,169,Coquitlam Central Station/Braid Station,,3,,,,Bus
4,11696,6.954812214901586,25.03732397364571,TL,609,South Delta Exchange/Ladner Exchange,,3,,,,Bus
61,40855,6.780205010774147,24.408738038786932,TL,350,White Rock Centre/Crescent Beach,,3,,,,Bus
158,6721,6.737547249932938,24.255170099758576,TL,395,Langley Centre/King George Station,,3,,,,Bus
118,6674,6.731107330654744,24.23198639035708,TL,212,Deep Cove/Phibbs Exchange,,3,,,,Bus
56,37810,6.680047323714715,24.04817036537297,TL,R4,41st Ave,,3,,008522,FFFFFF,Bus (RapidBus)
132,6690,6.678436167824091,24.04237020416673,TL,253,Caulfeild/Vancouver/Park Royal,,3,,,,Bus
3,11693,6.64453784327287,23.920336235782333,TL,388,22nd St Station/Carvolth Exchange,,3,,,,Bus
5,12940,6.643064512915912,23.915032246497283,TL,595,Maple Meadows Station/Langley Centre,,3,,,,Bus
168,6738,6.570960944375639,23.655459399752303,TL,502,Langley Centre/Surrey Central Station,,3,,,,Bus
38,31817,6.563068257519981,23.62704572707193,TL,361,Ocean Park/White Rock Centre,,3,,,,Bus
46,34042,6.528550528248506,23.502781901694622,TL,745,Haney Place/Cottonwood,,3,,,,Bus
